,waypoint_from,waypoint_to,room_from,room_to,type_from,type_to,changed_rooms
969,17,10,1,1,2,0,1
970,10,7,1,0,0,0,1
971,7,0,0,0,0,2,1
972,0,1,0,0,2,2,1
973,1,2,0,0,2,2,1
974,2,3,0,0,2,1,1
975,3,4,0,0,1,0,1
976,4,5,0,0,0,2,1
977,5,6,0,0,2,2,1
978,6,8,0,0,2,2,1
979,8,1,0,0,2,2,1
980,1,4,0,0,2,0,1
981,4,7,0,0,0,0,1
982,7,0,0,0,0,2,1
983,0,8,0,0,2,2,1
984,8,2,0,0,2,2,1
985,2,3,0,0,2,1,1
986,3,2,0,0,1,2,1
987,2,5,0,0,2,2,1
988,5,6,0,0,2,2,1
989,6,1,0,0,2,2,1
990,1,8,0,0,2,2,1
991,8,4,0,0,2,0,1
992,4,7,0,0,0,0,1
993,7,0,0,0,0,2,1
994,0,7,0,0,2,0,1
995,7,10,0,1,0,0,1
996,10,9,1,1,0,2,1
997,9,11,1,1,2,2,1
998,11,12,1,1,2,1,1
999,12,13,1,1,1,0,1
